month,행정동코드,성별,연령대,총인구,1인가구수,야간상주지 변경횟수 평균,주간상주지 변경횟수 평균,평균 출근 소요시간 평균,평균 근무시간 평균,소액결재 사용횟수 평균,소액결재 사용금액 평균,최근 3개월 내 요금 연체 비율,카카오톡 비사용 인구수,SNS 사용횟수,평균 통화량,평균 문자량,평균 통화대상자 수,평균 문자대상자 수,데이터 사용량,평일 총 이동 횟수,휴일 총 이동 횟수 평균,집 추정 위치 평일 총 체류시간,집 추정 위치 휴일 총 체류시간,평일 총 이동 거리 합계,휴일 총 이동 거리 합계,지하철이동일수 합계,게임 서비스 사용일수,금융 서비스 사용일수,쇼핑 서비스 사용일수,동영상/방송 서비스 사용일수,유튜브 사용일수,넷플릭스 사용일수,배달 서비스 사용일수,배달_브랜드 서비스 사용일수,배달_식재료 서비스 사용일수
01,1117000000,1,60,12475,2160,47.54,73.59,1919.8,15287.08,67.59,174894.59,191.28,481.19,-3.1,2425.31,372.15999999999997,447.40999999999997,145.45999999999998,43.93,546.9,247.87,23706407.990000002,6628595.62,15372.73,10771.0,281.95000000000005,1263.76,1567.13,2903.9399999999996,594.29,-4.84,-18.68,290.99,51.489999999999995,45.089999999999996
01,1120000000,0,20,23817,6730,76.47,122.62,2212.9,18115.46,75.88,233879.08000000002,278.79,326.02,5.1,2457.29,332.79999999999995,314.84000000000003,136.79000000000002,457.38,667.8599999999999,288.07,21254953.130000003,5504332.61,20022.42,10975.939999999999,384.69000000000005,2645.89,4087.0599999999995,4944.92,1486.62,8.96,-6.38,643.7,94.52,45.089999999999996
01,1120000000,0,30,26065,5781,63.339999999999996,88.39,2250.11,18666.42,82.84,219312.6,290.73,995.48,6.3100000000000005,2520.77,376.65,551.94,197.57,377.75,795.29,327.99,19359519.77,5079776.65,25879.16,14479.92,430.01,2348.53,5272.1,6557.139999999999,1639.7600000000002,4.9,-6.52,699.03,97.22999999999999,55.11
01,1120000000,0,40,25050,3583,56.769999999999996,77.18,2390.3599999999997,18421.6,82.15,190397.44,244.41,1301.77,2.95,2603.61,404.58000000000004,650.6600000000001,209.81,248.39000000000001,837.1500000000001,326.3,19409743.810000002,5225392.470000001,30344.870000000003,14965.44,427.01,2286.49,4901.49,6628.219999999999,1530.56,1.02,-9.65,559.03,98.66,56.78
01,1120000000,0,50,23491,2928,56.3,76.98,2392.88,18179.1,76.95,182549.35,279.12,1129.8000000000002,0.62,2254.71,449.74,663.34,198.14,137.46,812.95,326.93,19828581.310000002,5240907.7,30582.84,16036.21,409.91999999999996,1894.8,3500.87,4579.79,1125.85,-1.69,-15.76,422.06,102.25999999999999,45.089999999999996
01,1120000000,0,60,14145,2092,54.17,79.83000000000001,2374.75,17717.5,67.91,157060.83000000002,231.72000000000003,658.14,-1.46,1778.23,434.34,572.03,161.13,71.06,688.97,306.57000000000005,22206326.869999997,5818468.609999999,25948.05,14988.76,368.02,1521.04,1903.42,2665.09,808.6800000000001,-3.91,-20.35,304.32,62.99,36.739999999999995
01,1120000000,1,20,22674,6525,68.8,104.21,2120.26,17881.239999999998,80.4,225680.2,244.70000000000002,128.04,2.54,2417.94,379.88,266.03,144.61,289.15999999999997,712.9100000000001,299.65,20620994.240000002,5253957.49,18965.620000000003,11529.900000000001,409.12,1425.82,3969.53,5614.72,1251.81,4.66,-4.55,618.71,82.39,56.78
01,1120000000,1,30,25274,5094,62.24,89.02000000000001,2088.92,17956.739999999998,85.59,207587.38,246.44,435.6,3.17,2216.0299999999997,347.03000000000003,403.72,190.60000000000002,244.38,696.98,306.63,21518137.48,5560072.83,18023.33,12904.029999999999,391.0,1499.75,4712.360000000001,7605.6900000000005,1436.03,1.5500000000000003,-5.66,628.6500000000001,85.42,56.78
01,1120000000,1,40,24028,3290,52.81,80.1,2064.81,17273.120000000003,82.23,207140.37,223.82999999999998,638.49,-0.52,2579.58,427.89,482.4,206.57999999999998,147.66,661.94,275.98,22998217.62,6114911.0,16588.97,11429.48,358.15,1607.52,4228.91,7309.01,1227.49,-2.26,-10.18,537.54,95.17,56.78
01,1120000000,1,50,23889,2838,51.47,77.56,2081.23,17241.120000000003,80.64,198545.93,195.72,666.98,-2.31,2594.81,466.90999999999997,483.41999999999996,179.57,72.44,641.28,277.09000000000003,23371816.68,6162601.13,17011.12,12618.04,341.78999999999996,1455.5,3013.8599999999997,5197.38,848.8499999999999,-4.59,-15.899999999999999,378.11,89.27000000000001,55.11
